Symbol,Security,GICS Sector,GICS Sub Industry,,,,,
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,,,,
ORCL,Oracle Corp.,Information Technology,Application Software,,,,,
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,,,,,
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,,,,,
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,,,,
QRVO,Qorvo,Information Technology,Semiconductors,,,,,
SNPS,Synopsys Inc.,Information Technology,Application Software,,,,,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,,,,,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,,,,,
TXN,Texas Instruments,Information Technology,Semiconductors,,,,,
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,,,,,
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,,,,,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,,,,,
XLNX,Xilinx,Information Technology,Semiconductors,,,,,
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,
ALB,Albemarle Corp,Materials,Specialty Chemicals,,,,,
AMCR,Amcor plc,Materials,Paper Packaging,,,,,
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,,,,,
AVY,Avery Dennison Corp,Materials,Paper Packaging,,,,,
BLL,Ball Corp,Materials,Metal & Glass Containers,,,,,
CE,Celanese,Materials,Specialty Chemicals,,,,,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,,,,,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,,,,,
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,,,,,
DOW,Dow Inc.,Materials,Commodity Chemicals,,,,,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,,,,,
EMN,Eastman Chemical,Materials,Diversified Chemicals,,,,,
FCX,Freeport-McMoRan Inc.,Materials,Copper,,,,,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,,,,,
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,,,,,
IP,International Paper,Materials,Paper Packaging,,,,,
LIN,Linde plc,Materials,Industrial Gases,,,,,
LYB,LyondellBasell,Materials,Specialty Chemicals,,,,,
MLM,Martin Marietta Materials,Materials,Construction Materials,,,,,
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,,,,,
NEM,Newmont Goldcorp,Materials,Gold,,,,,
NUE,Nucor Corp.,Materials,Steel,,,,,
PKG,Packaging Corporation of America,Materials,Paper Packaging,,,,,
PPG,PPG Industries,Materials,Specialty Chemicals,,,,,
SEE,Sealed Air,Materials,Paper Packaging,,,,,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,,,,,
VMC,Vulcan Materials,Materials,Construction Materials,,,,,
WRK,WestRock,Materials,Paper Packaging,,,,,
AIV,Apartment Investment & Management,Real Estate,Residential REITs,,,,,
AMT,American Tower Corp.,Real Estate,Specialized REITs,,,,,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,,,,,
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,,,,,
BXP,Boston Properties,Real Estate,Office REITs,,,,,
CBRE,CBRE Group,Real Estate,Real Estate Services,,,,,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,,,,,
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,,,,,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,,,,,
EQIX,Equinix,Real Estate,Specialized REITs,,,,,
EQR,Equity Residential,Real Estate,Residential REITs,,,,,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,,,,,
EXR,Extra Space Storage,Real Estate,Specialized REITs,,,,,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,,,,,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,,,,,
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,,,,,
KIM,Kimco Realty,Real Estate,Retail REITs,,,,,
MAA,Mid-America Apartments,Real Estate,Residential REITs,,,,,
MAC,Macerich,Real Estate,Retail REITs,,,,,
O,Realty Income Corporation,Real Estate,Retail REITs,,,,,
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,,,,,
PLD,Prologis,Real Estate,Industrial REITs,,,,,
PSA,Public Storage,Real Estate,Specialized REITs,,,,,
REG,Regency Centers Corporation,Real Estate,Retail REITs,,,,,
SBAC,SBA Communications,Real Estate,Specialized REITs,,,,,
SLG,SL Green Realty,Real Estate,Office REITs,,,,,
SPG,Simon Property Group Inc,Real Estate,Retail REITs,,,,,
UDR,"UDR, Inc.",Real Estate,Residential REITs,,,,,
VNO,Vornado Realty Trust,Real Estate,Office REITs,,,,,
VTR,Ventas Inc,Real Estate,Health Care REITs,,,,,
WELL,Welltower Inc.,Real Estate,Health Care REITs,,,,,
WY,Weyerhaeuser,Real Estate,Specialized REITs,,,,,
AEE,Ameren Corp,Utilities,Multi-Utilities,,,,,
AEP,American Electric Power,Utilities,Electric Utilities,,,,,
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,,,,,
ATO,Atmos Energy Corp,Utilities,Gas Utilities,,,,,
AWK,American Water Works Company Inc,Utilities,Water Utilities,,,,,
CMS,CMS Energy,Utilities,Multi-Utilities,,,,,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,,,,,
D,Dominion Energy,Utilities,Electric Utilities,,,,,
DTE,DTE Energy Co.,Utilities,Multi-Utilities,,,,,
DUK,Duke Energy,Utilities,Electric Utilities,,,,,
ED,Consolidated Edison,Utilities,Electric Utilities,,,,,
EIX,Edison Int'l,Utilities,Electric Utilities,,,,,
ES,Eversource Energy,Utilities,Multi-Utilities,,,,,
ETR,Entergy Corp.,Utilities,Electric Utilities,,,,,
EVRG,Evergy,Utilities,Electric Utilities,,,,,
EXC,Exelon Corp.,Utilities,Multi-Utilities,,,,,
FE,FirstEnergy Corp,Utilities,Electric Utilities,,,,,
LNT,Alliant Energy Corp,Utilities,Electric Utilities,,,,,
NEE,NextEra Energy,Utilities,Multi-Utilities,,,,,
NI,NiSource Inc.,Utilities,Multi-Utilities,,,,,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,,,,,
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,,,,,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,,,,
PPL,PPL Corp.,Utilities,Electric Utilities,,,,,
SO,Southern Co.,Utilities,Electric Utilities,,,,,
SRE,Sempra Energy,Utilities,Multi-Utilities,,,,,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,,,,,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,,,,,
